Username,Comment
Bani Rahman,"Saya ojol dan istri sudah masuk bulan ke 7 di kehamilannya, wabah ini sudah sangat meresahkan, semoga kita semua selalu dalam lindungan Allah سبحانه وتعالى"
Andri awan,bissmillaahhh...Besok covid-19 hilangamin...
Muhari Suradi,Semoga perjuangan bangsa Indonesia melawan corona diridhoi Allah SWT.
War Tonah,Ya allah  lindungi hamba2mu semuanya masukanlah semuanya dalam lindungan kasihmu ya allah.sehatkanlah hamba2mu  semuanya supaya dapat menjalankan  ibadah puasa di bulan suci ramadhan...Aamiin ya allah.
Dista Dininofiya,"Y Allah,,semoga covid_19 bsok sudah musnah y Allah,,,biar kita bsa mnjlankan ibadah puasa_MU y Allah,,,😟😟😟"
Agus Sumarno,Persatuan driver telkomsel indonesiaKAMI BEKERJA DI LUAR UNTUK ANDAkami mohon doanya agar kami semua tetap sehat. Tetap senyum dalam menjalankan tugas. AMINN
ARC arul chanel,"8:04 total kasus,hemat kuota"
Budi Cowboylocal,ku Aminkan semua doa terbaik...semoga ALLAH SWT.. TUHAN YME..mengabulkan semua doa yg kita panjatkan kepadaNYA.Aamiin...
warsito to,Semoga doa2 kita dikabulkan oleh Allah SWT
Ade Kosasi,Alhamduliliah yaa allah jumlah yg positif nya agk menurun dari kemarin semoga besok lebih menurun sampai 0 tak ada kasus baru .. amin
Budy Kurama,"bagaimana nasib kami salah satunya OB yang masih bekerja :') meski sudah melakukan social distencing tapi masih ada kemungkinan terkena.. nauzubilaminzalik , lindungillah kami ya allah yang masih bekerja di luar , semoga apa yang kami kerjakan menjadi pahala di akhirat nanti aminnn.."
Ellyta Putry,"Ayuk bersatu perang melawan corona, dan KITA HARUS MENANG! Dg cara menjaga diri, menjaga klrg, dan menjaga orang lain...Ikuti aturan pemerintah, jgn jadi pembangkang."
Alby Anak Kosan Tembalang,Kalo ada yg korupsi ditengah musibah mohon dipajang beserta keluarganya dihadapan masyarakat
Fandys _One,SAYA WARGA KTP DAERAH YG BERTAHAN BERSAMA UNTUK KESEMBUHAN JAKARTA
Pikri Maulana,Ya allah semoga corona cepat berlalau dari dunia ini Semoga indonesia bisa bersatu amiin
eva damai,Alhamdulillah.. Semogaa indonesia lekas membaik... Lindungilah umat manusiaa ya Allah.. Sungguh kmi memohon lindungi kami umat manusiaa...
Ians Aja,Ahamdulillah. semoga yang membantu dalam materi di balas surga oleh Allah SWT. yang belum bisa bantu cukup bantu doa setiap saat.
Evamawati Official,Semoga Uangnya dialokasikan dengan baik Dan Amanah.Stop Mudik PO Bus Kereta Dan Pesawat atau agen Travel
barisha brother,Selamat datang bulan yang penuh ampunan..🤗
cahyoelnour,Sensometer adalah cara tepat memahami corona...!?Yg di takutkan dunia sebenarnya adalah bukan corona tetapi kebodohan para pemimpin nya...!?
Ilham Hidayat,Selamat tinggal COVID-19Selamat datang bulan suci Ramadhan 🙏🤲
Utomo Wagirun,Janga lupa qunut nawazil Buat permohonon sama AllahSetiap ba'da shollat kitaSemoga qorona cepat kabur
LBT channel,"Bingung, mata pencaharian cuma petani karet, mau di kerjakan atau diam dirumah ajh, hasilnya tetap nol, pabrik karet tutup 😔😔"
Akang Luthfi TV,Saya kurir.KAMI BEKERJA DI LUAR RUMAH TETAP LAH DI RUMAH UNTUK KAMI.Bisnis senitizer meningkat. 
elyana lynda,Semoga 40 m dapat membantu masyarakat dan distrisbusikan secara amanah..amin
Abim Binjay,"Alhamdullilah negara ini dapat teguran dengan adanya covid -19 ,semoga negara ini makin dekat dengan yang maha kuasa Allah swt,aamiin"
vera xenora,"Sembuhnya meningkat kok , semoga lebih menjulang lagi"
Ria R,"Ya Allah, awal april ini saya udh ngga WFH, lindungin kami semua ya allah"
Saeful Bahri,Covid-19 hilang dan musnah sebelum dibulan Ramadhan aamiin.
Ibu Indah,Maaf pak ahmad yurianto yg trhormat. Apakah kuli proyek seperti kami tdak masuk daftar dalam setiap anda mnyampaikan laporan?
Hikbal Campur sari,"Semoga gak ada yang mudik d tahun ini,demi kepentingan bersama 🙏🏻"
Monster In Me,Semangat semua nyaaaaa Badai pasti berlalu..... SEMANGAAAAAAAAAT 😭😭
trilestari manis,"Bismillah🙏,, semoga keadaan bisa cepat kembali normal🙏"
sumiten ponorogo,Hasbunallah wani'mal wakiltiada pertolongan kecuali dari Allah Innallilahi wainnaillaihi rojiun
contraflow 87,Anggarannya di gunakan semestinya ya pak :)
Sidoarjo Buduran,Ya alloh smg virus corona secepatx lenyap dr muka bumi ini. Aamiin
31Madon Enjoy,Bismillah Ya allah semoga Qif 19 ini segera hilang pergi dari indonesia🤲Yuu kita semuanya banyak² berdoa   bersama🙏🏼
Soleh Udin,Alhamdulillah dgn ada ny covid 19 mega KORUPSI JIWASRAYA jd tenggelam🤣🤣🤣
Mas Newbie26,Semogah Allah mengangkat penyakit ini
Ara Lean,Baru aja mo lulus mo cr duit sendiri kerja eh mlh di tutup semua
abdul alwi,"Hanya kepada الله lah kita memohon perlindungan,,"
Harry Purnomo,"Kami tetap dirumah, tapi uang kami keluar 🙄"
Aisyah Naziah,"kami bekerja diluar untuk anda, anda tetap dirumah untuk kami, semangat lawan cupid-19"
Bilqis pramesti Rahman,Terimakasih untuk updatenya..Semoga Allah mengobati pasien yang sakit agar semuanya bisa berkumpul kembali..
HEARLY & FANY,Semoga Viruss Covid-19 ini Hilang di awal bulan Suci Ramadhan ya Allah Aminn aminn yarobal Al-Amin .Omongan adalah doa .
Zami Ramdani,"Bismillahirrahmanirrahim 🙏Do'a ku Hari ini , Semoga Virus Corona Menghilang Sebelum Ramadhan🙏."
Funny Anjay,Percaya gak kalian semua kalau Covid 19 hanya Prank April mop.
Siti Maliyah,Sebut qif_19 semoga wabah ini cepat berlalu
Kamaluddin Athoillah,"Insya Allah banyak Habaib Timur tengah, dan Indonesia yang bilang Corona akan hilang sebelum datangnya Romadhon. Insya Allah. Aamiin"
chelvin ardiansyah,Mari warga Indonesia kita saling mendukung satu sama lain dan percaya terhadap kebijakan pemerintah.Bersama Kita Bisa....
Salma Zayn,"Nggak seru kan yaa lebaran nggak sungkem nggak salam2an, semoga covid 19 segera berlalu biar ibudah puasa sampe lebaran makin seru🥺🙏🙏"
Menebar Dakwah,"Di mamuju, sulawesi barat APD sangat kurang, Jika ada yang positif itu dirujuk kemakassar.Apotik maupun di minimarket itu masker sudah ada dijual."
BOLANG Ciamic,"Semoga sebelum RAMADHAN ... COVID19 musnah, lenyap , hilang tak berbekas..."
Braga & Alisia,"Corona produk ChinaTau ndiri kan kualitas produk China,pasti gak awetSemoga Corona gak awet,sebelum ramadhan tibaAamiin"
Ahmad Dani,"0:01 intinya,lebih cepat lebih baik like aja"
Lia Liying,Ya Allah hilangkanlah covid 19  dari bumi ini Amiiin
Randy Chanel,Info dari pasien yg sudah sembuh dari RS Persahabatan ..Setiap hari kita disana :
DrumtotheBass Woop,How many cases in Bekasi ? Concerned for my Indonesian relatives.
Delista,Positif : 1528 sembuh: 81 meninggal: 136
Saitama kun,"Ya ya, udah banyak kan sumbangan nya,Jangnan buat menambah kaya diri anda ya,Percuma kaya kalo hari hasil nyuri om..Lebih baik miskin."
Fan Officiall,Semoga Allah menghilangkan covid-19 amin
Serli Dwi,"Sehat selalu bpk. Yurianto, Bismillah kita semua bisa menghadapi ujian ini. Dan covid-19 akan segera berakhir semogaa 💕"
Ruri Sonya,"Gw skip pidatonya, bc koment2nya doang🤭"
Susanto Tarno,Yang sembuh bertambah insyaAllah covid 19 segera musnah
ajost bren,Semoga cepet hilang sebelum bulan Ramadhan ya AllahAminn..
RAF MHD,"Minta sumbangan sama rakyat astagaaa, lagi lagi rakyat lagi, terus uang rakyat selama ini di kemanain???😂"
Akrisdian toro10,Yallah smoga rmadhan datang corona menghilang dan bapak ini juga menghilang amin
steven al-shaarawy,"Aamiin, kurang satu pak, rumah ibadah juga pak insyaallah bisa kita lewati."
emrizal official,Semoga allah segera mengngkat wabah COVID 19
Anet Ziyad,"Ya Allah MUSNAHKANLAH segera yang namanya penyakit COVID-19, apa lagi sebentar lagi mau menghadapi bulan suci Ramadhan.. Aamiinn..."
Ibu Umy,Semoga TUHAN YME membebaskan dunia ini dari wabah covid 19 .
Ngaliman Bima,Bissmillah hiroh man Niro him semoga sehat wal afiat
sincan,"Ya allah semoga covid virus corona ini , lenyap dari indonesia...  Panjang kan lah umur hambamu ini....."
Raka Satria,"Kata bapak yang ngomong di atas ""saya tidak berbohong, tapi saya hanya mengatur informasi"" :'))"
Ojos Ams,Allah hu akbar.. smoga virus ini menghilang di indonesia.. amiien.. like yg setuju..
Putri Agustina,Sedih lihat semakin hari makin ber + jumlah positif Corona.😥😭 Ya Allah smg virus ini cepet hilang dr bumi ini.Aamiin
Bagus story,"Yang komen bawa bawa AllahMending lu mulai rajin solatnya dah berdoa, bukan berdoa online doang dongo"
elonaa,Ya allah semoga yang nimbun masker kena corona ya allah.
Sinta Maulina,Tetap jaga kesehatan. Stay safe❤️
kim jong un,bersyukur kurva kita masih datarperhari 100-an yg terjangkit covid-19jangan sampai meledak...
Hilda Ziyadatul,Semoga virus ini hilang . Aminnn
Ria Riana putri,Alhamdulilah ya Allah byk yg terbuka hatinya
Putra Senpai,"Kena phk karena covid 19, sedih sih, mau gmna lagi, semoga allah angkat virus ini di dunia 🙏🏼"
hut hutt,Cukup memantau dr rmh smbil buka youtube dan brdoa semoga lekas membaik duniaku
Riadi Elfayyadl,Ya Allah angkat mahluk corona dr Indonesia tercinta...Amin
HAN studio,"marhaban ya rabadhan, insya allah di bulan suci semua membaik. amiiin"
Kocheng Oren Official,"Semangat semua,Semoga kita semua tetap dijaga tuhan ❤"
WE CAN TALK,"There are two kinds of people in this country: those who are in quarantine and those who will be soon.... I think the challenges are many, but I feel like we're poised to respond [to COVID-19]If they're all getting infected and getting sick, we lose one of the most important ways to stop people from dying...And then WE LOST..KETAKUTAN TERBESARKU ADALAH KITA SEBENARNYA SUDAH KALAH SEBELUM SEMUA INI DI MULAI,TAPI SEMOGA SAJA AKU SALAH"
Park Soohae,semangat ya semuanya:)
Keutuhan Islam,Semoga seluruhnya di lindungi Allah s.w.t.amin.
Su Heni,"Ya Allah semoga virus corona cepat hilang sebelum bulan romadhan , lindungi bangsa indonesia ini ya raab Amiiiin"
Aulia Rachman,ya allah lindungi lah indonesia dari virus yang terus MEROKET jumlah korban nya..
Ismael Ismael,....🤲...Yaa Allah ...Yaa Kariim..akhiri  lah wabah yg mencemaskan dari negeri kami  Indonesia..hanya Engkau  lah..tumpuan kami  Yaa Allah..🤲
Sandaran Hati,Alhamdulillah akhirnya virus corona k o juga..mudah2an selamanya hilang dan benar2 dihilangkan dari dunia ini...aamiiin
NR L,"Pak, tolong awasi harga sembako, harga2 yg naik itu harus di stabilkan pak 🇮🇩👍👍👍👍👍👍👍👍👍👍👍👍👍"
Arief Very,"1:24 Saya juga bekerja di luar untuk anda, jadi anda yg punya uang cukup berdiam diri dirumah 😆😆😆😆"
Kenzi Angga,"Semoga menjelng buln suci ramadhan alloh memusnahkan covid 19,,,, aminn ya robbb lindungi bangsa kami ya alloh"
Iwan Saputra,"Semoga segera diangkat segela penyakit, ya Allah lindungi saudara2 kami setanah air dari segala musibah ini, berikanlah kesabaran dan kesehatan kepada para medis."
Ferdy Rumagit,Angka kematian terus meningkat tajam daripada tingkat kesembuhan.. dibandingkan negara tetangga jumlahnya terbalik
Syafalita 26,Lonjakannya stabil  alhmdulillah ga sprti di luar negri. Keep up jaga kebersihan
